order_id,order_time,pickup_zip,delivery_zip,service_type,client_name,driver_id,dispatch_time,pickup_time,delivery_time,promised_eta,on_time,exception_notes,driver_idle_min,fuel_cost_usd,redelivery_flag
ORD-25000,03/24/2025 06:47,02030,02120,Routine,Lowell General,D035,2025-03-24 06:55:00,,2025-03-24 09:02:00,2025-03-24 10:46:00,Y,"driver stuck in traffic on 93, running ~20 min late",40,26.27,0
ORD-25001,2025-03-12 10:28:00,02177,02101,Routine,Brigham & Women's,D022,2025-03-12 10:48:00,2025-03-12 11:11:00,2025-03-12 11:45:00,2025-03-12 13:51:00,Y,called client re specimen integrity - awaiting callback,27,31.54,0
ORD-25002,2025-03-01 12:59:00,02125,02142,routine,St. Elizabeth's Medical,D024,2025-03-01 13:38:00,,2025-03-01 15:12:00,2025-03-01 17:13:00,Y,,19,17.23,0
ORD-25003,03/01/2025 13:23,02066,02130,ROUTINE,South Shore Hospital,D005,2025-03-01 14:04:00,2025-03-01 14:24:00,2025-03-01 16:00:00,2025-03-01 18:21:00,Y,,45,11.86,0
ORD-25004,02/12/2025 17:49,02184,02105,routine,Labcorp Inc,D014,2025-02-12 18:28:00,2025-02-12 18:58:00,2025-02-12 20:44:00,2025-02-12 23:33:00,Y,driver cannot locate parking at hospital,13,23.31,0
ORD-25005,2025/02/04 15:27,02103,02153,stat,Boston Med Ctr,D006,2025-02-04 15:33:00,2025-02-04 15:52:00,2025-02-04 16:21:00,2025-02-04 16:10:00,Y,redelivery needed: building locked,29,20.18,0
ORD-25006,2025/02/03 21:55,02143,02060,STAT,BioReference Labs,D022,2025-02-03 22:05:00,2025-02-03 22:42:00,,2025-02-03 22:48:00,Y,driver cannot locate parking at hospital,37,21.51,0
ORD-25007,2025/01/15 17:19,02118,02026,stat,LabCorp,D035,2025-01-15 17:55:00,2025-01-15 18:43:00,,2025-01-15 18:18:00,Y,,24,12.57,0
ORD-25008,03-15-25 07:05 PM,02180,02109,same-day,BioReference Labs,D009,2025-03-15 19:50:00,2025-03-15 20:35:00,2025-03-15 21:50:00,2025-03-15 22:22:00,Y,traffic accident on route 1 delay,39,27.61,0
ORD-25009,2025-02-10 10:42:00,02108,02194,rush,Mass General Hospital,D022,2025-02-10 10:46:00,2025-02-10 11:31:00,2025-02-10 13:01:00,2025-02-10 11:46:00,Y,specimen temp excursion possible - driver reports cooler malfunction,19,5.55,0
ORD-25010,02/13/2025 05:15,02115,02131,ROUTINE,Cape Cod Hospital,D037,2025-02-13 05:54:00,2025-02-13 06:19:00,2025-02-13 07:34:00,2025-02-13 09:03:00,N,"driver called in sick mid-route, reassigning trips",32,18.27,0
